"","state","pollster","number.of.observations","start.date","end.date","other","undecided","mode","population","pollsterFullName","year","democrat","republican","ID","race_id"
"1","AK","SurveyUSA",600,"3/3/08","3/6/08",6.3,2.7,"Live Phone","Registered Voters","SurveyUSA","2008",43,48,1,1
"2","AK","Rasmussen",500,"5/14/08","5/17/08",6.3,2.7,"Live Phone","Registered Voters","Rasmussen","2008",41,50,2,2
"3","AK","Rasmussen",500,"6/15/08","6/18/08",9.8,4.2,"Live Phone","Registered Voters","Rasmussen","2008",41,45,3,3
"4","AK","Research 2000",600,"7/13/08","7/16/08",5.6,2.4,"Live Phone","Registered Voters","Research 2000","2008",41,51,4,4
"5","AK","Rasmussen",500,"7/18/08","7/21/08",10.5,4.5,"Live Phone","Registered Voters","Rasmussen","2008",40,45,5,5
"6","AK","Rasmussen",500,"7/29/08","8/1/08",11.9,5.1,"Live Phone","Registered Voters","Rasmussen","2008",39,44,6,6
"7","AK","Anchorage Press",500,"8/30/08","9/2/08",7.7,3.3,"Live Phone","Registered Voters","Anchorage Press","2008",35,54,7,7
"8","AK","Rasmussen",500,"9/7/08","9/10/08",2.1,0.9,"Live Phone","Registered Voters","Rasmussen","2008",33,64,8,8
"9","AK","American Research",600,"9/14/08","9/17/08",4.2,1.8,"Live Phone","Registered Voters","American Research","2008",39,55,9,9
"10","AK","Fairleigh-Dickinson",601,"9/22/08","9/25/08",5.6,2.4,"Live Phone","Registered Voters","Fairleigh-Dickinson","2008",37,55,10,10
"11","AK","Rasmussen",500,"10/4/08","10/7/08",3.5,1.5,"Live Phone","Registered Voters","Rasmussen","2008",40,55,11,11
"12","AK","Anchorage Press",500,"10/19/08","10/22/08",3.5,1.5,"Live Phone","Registered Voters","Anchorage Press","2008",42,53,12,12
"13","AK","Rasmussen",500,"10/26/08","10/29/08",1.4,0.6,"Live Phone","Registered Voters","Rasmussen","2008",41,57,13,13
"14","AL","SurveyUSA",537,"1/15/08","1/18/08",5.6,2.4,"Live Phone","Registered Voters","SurveyUSA","2008",29,63,14,14
"15","AL","SurveyUSA",554,"2/19/08","2/22/08",5.6,2.4,"Live Phone","Registered Voters","SurveyUSA","2008",34,58,15,15
"16","AL","SurveyUSA",544,"3/17/08","3/20/08",2.1,0.9,"Live Phone","Registered Voters","SurveyUSA","2008",35,62,16,16
"17","AL","Rasmussen",500,"3/30/08","4/2/08",5.6,2.4,"Live Phone","Registered Voters","Rasmussen","2008",37,55,17,17
"18","AL","SurveyUSA",540,"4/14/08","4/17/08",2.8,1.2,"Live Phone","Registered Voters","SurveyUSA","2008",32,64,18,18
"19","AL","Rasmussen",500,"5/26/08","5/29/08",5.6,2.4,"Live Phone","Registered Voters","Rasmussen","2008",32,60,19,19
"20","AL","Rasmussen",500,"6/17/08","6/20/08",9.1,3.9,"Live Phone","Registered Voters","Rasmussen","2008",36,51,20,20
"21","AL","Rasmussen",500,"8/1/08","8/4/08",5.6,2.4,"Live Phone","Registered Voters","Rasmussen","2008",37,55,21,21
"22","AL","American Research",600,"9/14/08","9/17/08",4.2,1.8,"Live Phone","Registered Voters","American Research","2008",36,58,22,22
"23","AL","SurveyUSA",655,"9/15/08","9/18/08",1.4,0.6,"Live Phone","Registered Voters","SurveyUSA","2008",34,64,23,23
"24","AL","Rasmussen",500,"9/21/08","9/24/08",0.7,0.3,"Live Phone","Registered Voters","Rasmussen","2008",39,60,24,24
"25","AL","Capital Survey",554,"10/5/08","10/8/08",7,3,"Live Phone","Registered Voters","Capital Survey","2008",35,55,25,25
"26","AL","SurveyUSA",697,"10/7/08","10/10/08",2.1,0.9,"Live Phone","Registered Voters","SurveyUSA","2008",35,62,26,26
"27","AR","SurveyUSA",600,"3/3/08","3/6/08",9.8,4.2,"Live Phone","Registered Voters","SurveyUSA","2008",33,53,27,27
"28","AR","Rasmussen",500,"5/12/08","5/15/08",7,3,"Live Phone","Registered Voters","Rasmussen","2008",33,57,28,28
"29","AR","Rasmussen",500,"6/12/08","6/15/08",9.1,3.9,"Live Phone","Registered Voters","Rasmussen","2008",39,48,29,29
"30","AR","Rasmussen",500,"7/14/08","7/17/08",11.2,4.8,"Live Phone","Registered Voters","Rasmussen","2008",37,47,30,30
"31","AR","American Research",600,"9/20/08","9/23/08",4.2,1.8,"Live Phone","Registered Voters","American Research","2008",41,53,31,31
"32","AR","Rasmussen",500,"9/22/08","9/25/08",4.9,2.1,"Live Phone","Registered Voters","Rasmussen","2008",42,51,32,32
"33","AR","Rasmussen",500,"10/25/08","10/28/08",1.4,0.6,"Live Phone","Registered Voters","Rasmussen","2008",44,54,33,33
"34","AR","American Research",600,"10/29/08","11/1/08",3.5,1.5,"Live Phone","Registered Voters","American Research","2008",44,51,34,34
"35","AZ","SurveyUSA",600,"3/3/08","3/6/08",7,3,"Live Phone","Registered Voters","SurveyUSA","2008",39,51,35,35
"36","AZ","Rasmussen",500,"6/26/08","6/29/08",7.7,3.3,"Live Phone","Registered Voters","Rasmussen","2008",40,49,36,36
"37","AZ","Rasmussen",500,"8/1/08","8/4/08",8.4,3.6,"Live Phone","Registered Voters","Rasmussen","2008",36,52,37,37
"38","AZ","Mason-Dixon",400,"8/21/08","8/24/08",8.4,3.6,"Live Phone","Registered Voters","Mason-Dixon","2008",41,47,38,38
"39","AZ","American Research",600,"9/14/08","9/17/08",3.5,1.5,"Live Phone","Registered Voters","American Research","2008",39,56,39,39
"40","AZ","Rasmussen",500,"9/27/08","9/30/08",2.1,0.9,"Live Phone","Registered Voters","Rasmussen","2008",38,59,40,40
"41","AZ","Rasmussen",500,"10/24/08","10/27/08",2.1,0.9,"Live Phone","Registered Voters","Rasmussen","2008",46,51,41,41
"42","AZ","CNN/Time",807,"10/27/08","10/30/08",0.7,0.3,"Live Phone","Registered Voters","CNN/Time","2008",46,53,42,42
"43","AZ","Mason-Dixon",625,"10/27/08","10/30/08",5.6,2.4,"Live Phone","Registered Voters","Mason-Dixon","2008",44,48,43,43
