"","poll_id","question_id","race_id","year","race","location","type_simple","type_detail","pollster","pollster_rating_id","polldate","samplesize","cand1_name","cand1_party","cand1_pct","cand2_name","cand2_party","cand2_pct","cand3_pct","margin_poll","electiondate","cand1_actual","cand2_actual","margin_actual","error","bias","rightcall","comment","partisan","pollsterFull","daysuntil","demBias","repBias"
"470",6478,7947,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","ZIn-JZA",395,2000-10-17,1200,"Al Gore","DEM",43,"George W. Bush","REP",44,NA,-1,2000-11-07,48.38,47.87,0.52,1.52,-1.52,0,"","","Zogby Interactive-JZ Analytics",21,-5.38,-3.87
"471",6483,7952,815,"2000","2000_Pres-G_FL","FL","Pres-G","Pres-G","McLgh&A",203,2000-10-17,600,"Al Gore","DEM",43,"George W. Bush","REP",44,NA,-1,2000-11-07,48.84,48.85,-0.01,0.99,-0.99,1,"for Bill McCollum","R","McLaughlin & Associates",21,-5.84,-4.85
"472",6470,7939,820,"2000","2000_Pres-G_IL","IL","Pres-G","Pres-G","KRC-CmR",160,2000-10-17,600,"Al Gore","DEM",45,"George W. Bush","REP",43,NA,2,2000-11-07,54.6,42.58,12.01,10.01,-10.01,1,"","","KRC-Communications Research",21,-9.6,0.420000000000002
"473",6473,7942,820,"2000","2000_Pres-G_IL","IL","Pres-G","Pres-G","Rsr2000",281,2000-10-17,601,"Al Gore","DEM",47,"George W. Bush","REP",40,NA,7,2000-11-07,54.6,42.58,12.01,5.01,-5.01,1,"","","Research 2000",21,-7.6,-2.58
"474",6474,7943,836,"2000","2000_Pres-G_NH","NH","Pres-G","Pres-G","Rsr2000",281,2000-10-17,603,"Al Gore","DEM",44,"George W. Bush","REP",41,NA,3,2000-11-07,46.8,48.07,-1.27,4.27,4.27,0,"","","Research 2000",21,-2.8,-7.07
"475",6472,7941,844,"2000","2000_Pres-G_PA","PA","Pres-G","Pres-G","LnclnIn",170,2000-10-17,728,"Al Gore","DEM",42,"George W. Bush","REP",42,NA,0,2000-11-07,50.6,46.43,4.17,4.17,-4.17,0.5,"","","Lincoln Institute",21,-8.6,-4.43
"481",6459,123272,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","NBCNWSJ",221,2000-10-18,600,"Al Gore","DEM",43,"George W. Bush","REP",45,NA,-2,2000-11-07,48.38,47.87,0.52,2.52,-2.52,0,"sample size unavailable; estimated at 600 as a default; average of multiple versions or turnout models listed in poll","","NBC News-The Wall Street Journal",20,-5.38,-2.87
"482",63601,117065,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","RRp-POR",277,2000-10-18,3750,"Al Gore","DEM",46,"George W. Bush","REP",41,NA,5,2000-11-07,48.38,47.87,0.52,4.48,4.48,1,"","","Rasmussen Reports-Pulse Opinion Research",20,-2.38,-6.87
"483",6479,7948,807,"2000","2000_Pres-G_AL","AL","Pres-G","Pres-G","UnvroSA",361,2000-10-18,407,"Al Gore","DEM",33,"George W. Bush","REP",53,NA,-20,2000-11-07,41.59,56.47,-14.88,5.12,-5.12,1,"","","University of South Alabama",20,-8.59,-3.47
"484",25719,7940,828,"2000","2000_Pres-G_MI","MI","Pres-G","Pres-G","EPIC-MR",84,2000-10-18,600,"Al Gore","DEM",43,"George W. Bush","REP",43,NA,0,2000-11-07,51.28,46.14,5.13,5.13,-5.13,0.5,"","","EPIC-MRA",20,-8.28,-3.14
"485",63599,117063,828,"2000","2000_Pres-G_MI","MI","Pres-G","Pres-G","RRp-POR",277,2000-10-18,626,"Al Gore","DEM",43,"George W. Bush","REP",43,NA,0,2000-11-07,51.28,46.14,5.13,5.13,-5.13,0.5,"","","Rasmussen Reports-Pulse Opinion Research",20,-8.28,-3.14
"486",63600,117064,844,"2000","2000_Pres-G_PA","PA","Pres-G","Pres-G","RRp-POR",277,2000-10-18,1043,"Al Gore","DEM",42,"George W. Bush","REP",43,NA,-1,2000-11-07,50.6,46.43,4.17,5.17,-5.17,0,"","","Rasmussen Reports-Pulse Opinion Research",20,-8.6,-3.43
"487",6529,7998,855,"2000","2000_Pres-G_WV","WV","Pres-G","Pres-G","OhSttUn",236,2000-10-18,645,"Al Gore","DEM",39,"George W. Bush","REP",49,NA,-10,2000-11-07,45.59,51.92,-6.32,3.68,-3.68,1,"among registered voters","","Ohio State University",20,-6.59,-2.92
