"","poll_id","question_id","race_id","year","race","location","type_simple","type_detail","pollster","pollster_rating_id","polldate","samplesize","cand1_name","cand1_party","cand1_pct","cand2_name","cand2_party","cand2_pct","cand3_pct","margin_poll","electiondate","cand1_actual","cand2_actual","margin_actual","error","bias","rightcall","comment","partisan","pollsterFull","daysuntil","demBias","repBias","transparency","delMode","LV","undecided"
"910",6195,7649,844,"2000","2000_Pres-G_PA","PA","Pres-G","Pres-G","ZIn-JZA",395,2000-11-01,600,"Al Gore","DEM",43,"George W. Bush","REP",42,NA,1,2000-11-07,50.6,46.43,4.17,3.17,-3.17,1,"","","Zogby Interactive-JZ Analytics",6,-7.6,-4.43,"no","Online",TRUE,15
"2228",15748,20588,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","ZIn-JZA",395,2004-10-27,1200,"John Kerry","DEM",47,"George W. Bush","REP",47,NA,0,2004-11-02,48.26,50.73,-2.46,2.46,2.46,0.5,"","","Zogby Interactive-JZ Analytics",6,-1.26,-3.73,"no","Online",TRUE,6
"2229",25365,5776,760,"2004","2004_Pres-G_CO","CO","Pres-G","Pres-G","ZIn-JZA",395,2004-10-27,602,"John Kerry","DEM",48,"George W. Bush","REP",47,NA,1,2004-11-02,47.02,51.69,-4.67,5.67,5.67,0,"","","Zogby Interactive-JZ Analytics",6,0.979999999999997,-4.69,"no","Online",TRUE,5
"2233",4432,5756,767,"2004","2004_Pres-G_IA","IA","Pres-G","Pres-G","ZIn-JZA",395,2004-10-27,600,"John Kerry","DEM",45,"George W. Bush","REP",44,NA,1,2004-11-02,49.23,49.9,-0.67,1.67,1.67,0,"","","Zogby Interactive-JZ Analytics",6,-4.23,-5.9,"no","Online",TRUE,11
"2235",4437,5761,777,"2004","2004_Pres-G_MI","MI","Pres-G","Pres-G","ZIn-JZA",395,2004-10-27,601,"John Kerry","DEM",45,"George W. Bush","REP",47,NA,-2,2004-11-02,51.23,47.81,3.42,5.42,-5.42,0,"","","Zogby Interactive-JZ Analytics",6,-6.23,-0.810000000000002,"no","Online",TRUE,8
"2236",4433,5757,778,"2004","2004_Pres-G_MN","MN","Pres-G","Pres-G","ZIn-JZA",395,2004-10-27,603,"John Kerry","DEM",45,"George W. Bush","REP",46,NA,-1,2004-11-02,51.09,47.61,3.48,4.48,-4.48,0,"","","Zogby Interactive-JZ Analytics",6,-6.09,-1.61,"no","Online",TRUE,9
"2239",4453,5778,788,"2004","2004_Pres-G_NV","NV","Pres-G","Pres-G","ZIn-JZA",395,2004-10-27,600,"John Kerry","DEM",45,"George W. Bush","REP",50,NA,-5,2004-11-02,47.88,50.47,-2.59,2.41,-2.41,1,"","","Zogby Interactive-JZ Analytics",6,-2.88,-0.469999999999999,"no","Online",TRUE,5
"2242",4434,5758,790,"2004","2004_Pres-G_OH","OH","Pres-G","Pres-G","ZIn-JZA",395,2004-10-27,600,"John Kerry","DEM",47,"George W. Bush","REP",44,NA,3,2004-11-02,48.71,50.81,-2.11,5.11,5.11,0,"","","Zogby Interactive-JZ Analytics",6,-1.71,-6.81,"no","Online",TRUE,9
"2243",4444,5768,793,"2004","2004_Pres-G_PA","PA","Pres-G","Pres-G","ZIn-JZA",395,2004-10-27,600,"John Kerry","DEM",47,"George W. Bush","REP",47,NA,0,2004-11-02,50.92,48.42,2.5,2.5,-2.5,0.5,"","","Zogby Interactive-JZ Analytics",6,-3.92,-1.42,"no","Online",TRUE,6
"2245",4454,5779,803,"2004","2004_Pres-G_WI","WI","Pres-G","Pres-G","ZIn-JZA",395,2004-10-27,600,"John Kerry","DEM",49,"George W. Bush","REP",46,NA,3,2004-11-02,49.7,49.32,0.38,2.62,2.62,1,"","","Zogby Interactive-JZ Analytics",6,-0.700000000000003,-3.32,"no","Online",TRUE,5
"4490",15782,20622,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","ZIn-JZA",395,2008-10-29,1201,"Barack Obama","DEM",50,"John McCain","REP",43,NA,7,2008-11-04,52.86,45.6,7.26,0.26,-0.26,1,"","","Zogby Interactive-JZ Analytics",6,-2.86,-2.6,"no","Online",TRUE,7
"895",6197,7651,818,"2000","2000_Pres-G_IA","IA","Pres-G","Pres-G","Rsr2000",281,2000-11-01,603,"Al Gore","DEM",44,"George W. Bush","REP",43,NA,1,2000-11-07,48.54,48.22,0.31,0.69,0.69,1,"","","Research 2000",6,-4.54,-5.22,"no","Live*",TRUE,13
"897",6198,7652,820,"2000","2000_Pres-G_IL","IL","Pres-G","Pres-G","Rsr2000",281,2000-11-01,602,"Al Gore","DEM",48,"George W. Bush","REP",42,NA,6,2000-11-07,54.6,42.58,12.01,6.01,-6.01,1,"","","Research 2000",6,-6.6,-0.579999999999998,"no","Live*",TRUE,10
