"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",0.31673266511958,0.315177,0.306934433935422,7699,0.95,0.0431962,0.591207,NA,NA,NA,NA,NA,NA,NA
"b[1] 1892 Polling",-0.269481329025452,-0.319077,-0.755123960501333,11280.5,0.95,-6.24787,5.73211,NA,NA,NA,NA,NA,NA,NA
"b[2] 20/20 Insight",0.87941871502518,0.880964,0.930198867756529,10158.2,0.95,-3.84626,5.79572,NA,NA,NA,NA,NA,NA,NA
"b[3] A&A Research",-3.04628914911953,-2.98431,-2.44952715423477,11001,0.95,-9.00857,3.17742,NA,NA,NA,NA,NA,NA,NA
"b[4] Abacus Associates",1.49547523233706,1.48626,1.53520413002599,11078.4,0.95,-3.77102,6.80683,NA,NA,NA,NA,NA,NA,NA
"b[5] ABC News/The Washington Post",0.478617859739478,0.480632,0.624621493852169,11001,0.95,-0.888739,1.79151,NA,NA,NA,NA,NA,NA,NA
"b[6] Abt Associates",2.29913282787965,2.31272,2.2336007558421,11001,0.95,-1.07976,5.51067,NA,NA,NA,NA,NA,NA,NA
"b[7] AFL-CIO",-1.22805279998284,-1.1837,-0.888452833142823,11001,0.95,-7.59348,4.48426,NA,NA,NA,NA,NA,NA,NA
"b[8] Alaska Survey Research",5.28582968275611,5.28928,5.33913307677755,11001,0.95,2.10964,8.6271,NA,NA,NA,NA,NA,NA,NA
"b[9] ALG Research",3.63300672969276,3.6439,4.01066308508157,11001,0.95,0.858559,6.29707,NA,NA,NA,NA,NA,NA,NA
"b[10] American Research Group",-0.544027515497,-0.536455,-0.463319930711607,11001,0.95,-1.84121,0.656869,NA,NA,NA,NA,NA,NA,NA
"b[11] American Viewpoint",-2.95139124959367,-2.95194,-2.86478152892023,10708.5,0.95,-6.54434,0.477378,NA,NA,NA,NA,NA,NA,NA
"b[12] Analytical Group",1.09811325271484,1.08976,0.943799264153759,11001,0.95,-4.96389,7.02942,NA,NA,NA,NA,NA,NA,NA
"b[13] Anderson Group",-3.21065847391873,-3.19922,-3.12858978721163,11399.5,0.95,-8.97455,3.26847,NA,NA,NA,NA,NA,NA,NA
"b[14] Angus Reid Global",-2.68588086732661,-2.68751,-2.69160052096013,10155.6,0.95,-4.67276,-0.724177,NA,NA,NA,NA,NA,NA,NA
"b[15] APC Research",0.943716214274157,0.947911,1.23146886818384,11001,0.95,-4.40566,6.17556,NA,NA,NA,NA,NA,NA,NA
"b[16] Arizona State University",3.94775748322607,3.95456,4.12503097309628,11001,0.95,0.0795587,7.9452,NA,NA,NA,NA,NA,NA,NA
"b[17] Arthur J. Finkelstein & Associates",-4.03446793180102,-4.05245,-4.15775368734056,10977.1,0.95,-9.85023,2.36668,NA,NA,NA,NA,NA,NA,NA
"b[18] ASA Marketing Group",1.51246238127784,1.51633,1.70845439955897,10598.1,0.95,-4.40912,7.81327,NA,NA,NA,NA,NA,NA,NA
"b[19] Aspen Media & Market Research",-1.10139862341332,-1.11096,-1.27204589841214,11001,0.95,-7.4046,4.83923,NA,NA,NA,NA,NA,NA,NA
