"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"repResponsetoDemBias",-0.774582246,-0.774611,-0.77091439851024,11000,0.95,-0.821368,-0.728801,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse",-0.505444831363636,-0.5054385,-0.504895287731059,11000,0.95,-0.526874,-0.483872,NA,NA,NA,NA,NA,NA,NA
"repBiasSpread",1.43005257636364,1.428835,1.43051019532784,11000,0.95,1.3455,1.51907,NA,NA,NA,NA,NA,NA,NA
"dembiasSpread",2.03298743272727,2.03152,2.02510186993361,9863.2,0.95,1.83019,2.23082,NA,NA,NA,NA,NA,NA,NA
"nuY",9.87853799909091,8.804355,7.81357505597194,7902.3,0.95,4.17422,18.0524,NA,NA,NA,NA,NA,NA,NA
"pollsterSpread",0.512370714172727,0.497375,0.477413244101729,2623.3,0.95,0.0640754,0.930072,NA,NA,NA,NA,NA,NA,NA
"yearSpread",3.92960018454545,3.426775,2.82937975667372,9294,0.95,1.53247,7.64209,NA,NA,NA,NA,NA,NA,NA
"yearLean[1]",-5.16570899,-5.18559,-5.13807467684147,7231.9,0.95,-6.11938,-4.21841,NA,NA,NA,NA,NA,NA,NA
"yearLean[2]",-0.632508891408727,-0.635789,-0.607134860363965,7044.3,0.95,-1.43833,0.1943,NA,NA,NA,NA,NA,NA,NA
"yearLean[3]",-1.68535606427273,-1.68581,-1.67577488327955,6895.1,0.95,-2.35325,-1.03844,NA,NA,NA,NA,NA,NA,NA
"yearLean[4]",-2.58588499218182,-2.591325,-2.617405123101,8014.6,0.95,-3.29005,-1.84739,NA,NA,NA,NA,NA,NA,NA
"yearLean[5]",-1.55850638060727,-1.563905,-1.57190788692371,10198.3,0.95,-2.33846,-0.686162,NA,NA,NA,NA,NA,NA,NA
