"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"repResponsetoDemBias",-0.918542636545455,-0.918667,-0.919933733444249,11000,0.95,-0.967043,-0.870967,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse[1]",-0.636303472272727,-0.6362595,-0.633756092852695,11000,0.95,-0.669376,-0.603145,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse[2]",-0.731517387454545,-0.731396,-0.731443892111976,11403.1,0.95,-0.804986,-0.665592,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse[3]",-0.628359173181818,-0.62835,-0.628315961319343,11559.3,0.95,-0.673253,-0.582576,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse[4]",-0.601601248454545,-0.601632,-0.598085634057636,11000,0.95,-0.655146,-0.545384,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse[5]",-0.430010163545455,-0.4299805,-0.429155224796744,11000,0.95,-0.452168,-0.408643,NA,NA,NA,NA,NA,NA,NA
"repBiasSpread",1.24558687636364,1.24451,1.24399963132137,11000,0.95,1.16955,1.32253,NA,NA,NA,NA,NA,NA,NA
"dembiasSpread",2.03029182,2.0289,2.02781108327548,10668.3,0.95,1.83414,2.23343,NA,NA,NA,NA,NA,NA,NA
"nuY",9.77646264181818,8.716255,7.68866906622542,9352.2,0.95,4.15661,17.818,NA,NA,NA,NA,NA,NA,NA
"pollsterSpread",0.512060188136364,0.491976,0.459267869355917,3308.5,0.95,0.0760227,0.939289,NA,NA,NA,NA,NA,NA,NA
"yearSpread",3.98551888272727,3.45503,2.80951168360897,7917.5,0.95,1.42879,7.71674,NA,NA,NA,NA,NA,NA,NA
"yearLean[1]",-5.18217083363636,-5.19891,-5.21886359514973,8061.2,0.95,-6.11383,-4.23595,NA,NA,NA,NA,NA,NA,NA
"yearLean[2]",-0.632454230667818,-0.6422645,-0.649110420322819,7356.3,0.95,-1.46037,0.207977,NA,NA,NA,NA,NA,NA,NA
"yearLean[3]",-1.68377872717273,-1.685495,-1.67988440598914,6577.4,0.95,-2.33624,-1.02277,NA,NA,NA,NA,NA,NA,NA
"yearLean[4]",-2.59105865609091,-2.59805,-2.60123053435586,7854.3,0.95,-3.29401,-1.89322,NA,NA,NA,NA,NA,NA,NA
"yearLean[5]",-1.56773480145727,-1.570745,-1.61556593391177,9649,0.95,-2.40108,-0.770647,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,1] MrstCll 2000",-0.147302043735895,-0.1021445,-0.0241794693438675,9691.4,0.95,-1.29207,0.834193,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,1] RRp-POR 2000",-0.702227315433073,-0.648582,-0.558158243612396,5014,0.95,-1.74624,0.192884,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,1] SrvyUSA 2000",0.697951033916145,0.655357,0.632760278962936,5455.7,0.95,-0.172718,1.74995,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,1] YouGov 2000",-0.00470538652170909,-0.00338271,-0.00480981101734024,11401.5,0.95,-1.10332,1.14528,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,2] MrstCll 2004",0.229556447937973,0.173606,0.0486724692574279,8496.2,0.95,-0.731942,1.29501,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,2] RRp-POR 2004",-0.315411591713745,-0.2689555,-0.163201103787826,7220,0.95,-1.24172,0.500591,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,2] SrvyUSA 2004",0.0423030725757182,0.04182205,0.0302753794652117,7468.6,0.95,-0.779072,0.856659,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,2] YouGov 2004",0.0224992766811273,0.01795785,0.00652244011985648,10676.6,0.95,-1.06736,1.13099,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,3] MrstCll 2008",0.0751744741539609,0.0596165,0.00213702698961216,9709.5,0.95,-0.808762,0.930936,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,3] RRp-POR 2008",0.178529914653527,0.160157,0.123913739619306,7167.5,0.95,-0.52192,0.891453,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,3] SrvyUSA 2008",-0.0770434955024091,-0.0640332,-0.0306552750075357,7492.4,0.95,-0.836493,0.645168,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,3] YouGov 2008",-0.211558881109355,-0.1854165,-0.140391915144622,7074.5,0.95,-0.983026,0.482036,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,4] MrstCll 2012",0.158744821168227,0.1298785,0.0369922801685831,8717.4,0.95,-0.692808,1.02228,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,4] RRp-POR 2012",-0.126162483462158,-0.1066095,-0.030880718852704,7891.9,0.95,-0.876507,0.626034,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,4] SrvyUSA 2012",-0.0901645533858636,-0.0751406,-0.0391366380311831,9217,0.95,-0.95067,0.677401,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,4] YouGov 2012",-0.0195817046456382,-0.01629125,-0.0228707129386274,9527.3,0.95,-0.839902,0.696938,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,5] MrstCll 2016",-0.102098043194164,-0.07967005,-0.0168627330033426,10129.4,0.95,-1.06481,0.822077,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,5] RRp-POR 2016",0.0561941862629545,0.04473455,-0.00726707366788126,9597.8,0.95,-0.745696,0.899655,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,5] SrvyUSA 2016",0.097400039962124,0.07023105,0.0200438408987695,10098.3,0.95,-0.858616,1.07406,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,5] YouGov 2016",-0.0936387323139636,-0.07678305,-0.029286841402917,10224.7,0.95,-0.985117,0.739643,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse",-0.636303472272727,-0.6362595,-0.633756092852695,11000,0.95,-0.669376,-0.603145,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse",-0.731517387454545,-0.731396,-0.731443892111976,11403.1,0.95,-0.804986,-0.665592,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse",-0.628359173181818,-0.62835,-0.628315961319343,11559.3,0.95,-0.673253,-0.582576,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse",-0.601601248454545,-0.601632,-0.598085634057636,11000,0.95,-0.655146,-0.545384,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse",-0.430010163545455,-0.4299805,-0.429155224796744,11000,0.95,-0.452168,-0.408643,NA,NA,NA,NA,NA,NA,NA
"repResponsetoDemBias",-0.918542636545455,-0.918667,-0.919933733444249,11000,0.95,-0.967043,-0.870967,NA,NA,NA,NA,NA,NA,NA
