"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"repResponsetoDemBias[1]",-0.690926592818182,-0.690642,-0.689369694192345,11000,0.95,-0.752274,-0.628159,NA,NA,NA,NA,NA,NA,NA
"repResponsetoDemBias[2]",-0.787836621363636,-0.7884615,-0.792093794351831,11000,0.95,-0.936594,-0.638638,NA,NA,NA,NA,NA,NA,NA
"repResponsetoDemBias[3]",-0.837044207545454,-0.8364295,-0.834312439566585,11000,0.95,-0.912784,-0.767382,NA,NA,NA,NA,NA,NA,NA
"repResponsetoDemBias[4]",-0.841870887727273,-0.841963,-0.845519647910331,11429,0.95,-0.932753,-0.748735,NA,NA,NA,NA,NA,NA,NA
"repResponsetoDemBias[5]",-0.831795657181818,-0.8316955,-0.834926144350383,11000,0.95,-0.95374,-0.708863,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse",-0.499856277727273,-0.499778,-0.49922704043404,11000,0.95,-0.522386,-0.477665,NA,NA,NA,NA,NA,NA,NA
"repBiasSpread",1.41277668636364,1.41193,1.41338678063475,11000,0.95,1.32945,1.50193,NA,NA,NA,NA,NA,NA,NA
"dembiasSpread",2.03085090181818,2.029935,2.03526254263361,9906.2,0.95,1.82547,2.23536,NA,NA,NA,NA,NA,NA,NA
"nuY",9.80427159272727,8.744055,7.395374113286,6108,0.95,4.15562,17.7957,NA,NA,NA,NA,NA,NA,NA
"pollsterSpread",0.515213736763636,0.4952475,0.484267675185248,2960.6,0.95,0.0521309,0.938218,NA,NA,NA,NA,NA,NA,NA
"yearSpread",3.92888361727273,3.42145,2.80444979642645,6931.2,0.95,1.58982,7.62968,NA,NA,NA,NA,NA,NA,NA
"yearLean[1]",-5.17464096090909,-5.186275,-5.16179483872353,8007.2,0.95,-6.11538,-4.19872,NA,NA,NA,NA,NA,NA,NA
"yearLean[2]",-0.630336014499291,-0.641385,-0.618279743434168,7059.4,0.95,-1.43193,0.246186,NA,NA,NA,NA,NA,NA,NA
"yearLean[3]",-1.6768395038,-1.679745,-1.67231035245597,6043.7,0.95,-2.36415,-1.01809,NA,NA,NA,NA,NA,NA,NA
"yearLean[4]",-2.58364159072727,-2.59251,-2.60436890606658,6690.9,0.95,-3.27741,-1.85354,NA,NA,NA,NA,NA,NA,NA
"yearLean[5]",-1.57572955566455,-1.57872,-1.60933512898205,9740.2,0.95,-2.36695,-0.720792,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,1] MrstCll 2000",-0.155952029536555,-0.107588,-0.0339319444286912,8948.6,0.95,-1.27983,0.853583,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,1] RRp-POR 2000",-0.706099200558545,-0.652099,-0.584574570237518,4697,0.95,-1.77749,0.159263,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,1] SrvyUSA 2000",0.693593081230464,0.638103,0.572874724437859,5349.2,0.95,-0.152034,1.75834,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,1] YouGov 2000",-0.0083153121922,-0.00245368,0.0100669106994786,10666.4,0.95,-1.23641,1.12338,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,2] MrstCll 2004",0.224408877778009,0.1707645,0.0324382779564258,9019.8,0.95,-0.705808,1.28245,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,2] RRp-POR 2004",-0.316704228157423,-0.275246,-0.0859817788948831,6321.7,0.95,-1.22958,0.528662,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,2] SrvyUSA 2004",0.0338271976917455,0.03526535,0.00754883624924663,6941.7,0.95,-0.814443,0.851713,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,2] YouGov 2004",0.0313907403512636,0.0162151,-0.00246947919169971,10655.1,0.95,-1.1121,1.08839,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,3] MrstCll 2008",0.0644463192125273,0.04876305,0.0116958584496034,9635.4,0.95,-0.788155,0.980667,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,3] RRp-POR 2008",0.169371283016927,0.150868,0.0605337595381623,6658.5,0.95,-0.493764,0.956386,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,3] SrvyUSA 2008",-0.08957158290436,-0.0765761,-0.0490250088149864,6650.1,0.95,-0.856563,0.655969,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,3] YouGov 2008",-0.216960583533027,-0.1938855,-0.0934812653390398,6777.1,0.95,-0.959815,0.557129,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,4] MrstCll 2012",0.163316420935455,0.127617,0.0329862459834787,8745.2,0.95,-0.660583,1.05968,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,4] RRp-POR 2012",-0.132057421318918,-0.107739,-0.045124390157059,6740,0.95,-0.902645,0.612299,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,4] SrvyUSA 2012",-0.0935932156051091,-0.071492,-0.0316622774191555,8070.8,0.95,-0.958135,0.708243,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,4] YouGov 2012",-0.0202446130916909,-0.0157185,-0.0185798816396079,7440.7,0.95,-0.798015,0.741887,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,5] MrstCll 2016",-0.106412649925836,-0.0858588,-0.0338703672241212,9678.7,0.95,-1.0562,0.78014,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,5] RRp-POR 2016",0.0584646982179,0.0508161,0.0409880986582252,9028.1,0.95,-0.770836,0.925246,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,5] SrvyUSA 2016",0.1059923525004,0.07869735,0.013210747014142,10468.4,0.95,-0.843529,1.13754,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,5] YouGov 2016",-0.0879477295628327,-0.06684405,-0.0331790609228908,9954.4,0.95,-0.987835,0.761331,NA,NA,NA,NA,NA,NA,NA
"repResponsetoDemBias",-0.690926592818182,-0.690642,-0.689369694192345,11000,0.95,-0.752274,-0.628159,NA,NA,NA,NA,NA,NA,NA
"repResponsetoDemBias",-0.787836621363636,-0.7884615,-0.792093794351831,11000,0.95,-0.936594,-0.638638,NA,NA,NA,NA,NA,NA,NA
"repResponsetoDemBias",-0.837044207545454,-0.8364295,-0.834312439566585,11000,0.95,-0.912784,-0.767382,NA,NA,NA,NA,NA,NA,NA
"repResponsetoDemBias",-0.841870887727273,-0.841963,-0.845519647910331,11429,0.95,-0.932753,-0.748735,NA,NA,NA,NA,NA,NA,NA
"repResponsetoDemBias",-0.831795657181818,-0.8316955,-0.834926144350383,11000,0.95,-0.95374,-0.708863,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse",-0.499856277727273,-0.499778,-0.49922704043404,11000,0.95,-0.522386,-0.477665,NA,NA,NA,NA,NA,NA,NA
