"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"a1[1] ABCN-WP",-0.0571110973076084,-0.0546559,-0.0102769606249629,6055.5,0.95,-1.3277,1.31853,NA,NA,NA,NA,NA,NA,NA
"a1[2] AmrcnRG",0.205233400748373,0.205468,0.170289510063753,5997,0.95,-1.10404,1.3643,NA,NA,NA,NA,NA,NA,NA
"a1[3] Gallup",-1.04507848848087,-1.03303,-0.975956680769995,7044.4,0.95,-2.51042,0.431761,NA,NA,NA,NA,NA,NA,NA
"a1[4] GrvsMrk",-0.964928419487501,-0.96078,-0.974214151781724,6268.7,0.95,-2.23086,0.360541,NA,NA,NA,NA,NA,NA,NA
"a1[5] HrrsI&A",1.99799722850559,1.99149,1.93515398711596,5894.6,0.95,0.671297,3.33553,NA,NA,NA,NA,NA,NA,NA
"a1[6] MrstCll",0.177115004445869,0.178661,0.131709254401219,6610.7,0.95,-1.18013,1.52167,NA,NA,NA,NA,NA,NA,NA
"a1[7] Ms-DP&S",-0.125404074093655,-0.128959,-0.228977556942431,4592.2,0.95,-1.23324,0.9528,NA,NA,NA,NA,NA,NA,NA
"a1[8] PblcPlP",0.978041983963549,0.974424,0.950836718421722,4777.8,0.95,-0.0887779,2.05985,NA,NA,NA,NA,NA,NA,NA
"a1[9] QnnpcUn",0.704584849646132,0.700777,0.768840141353281,6930.9,0.95,-0.601982,2.07887,NA,NA,NA,NA,NA,NA,NA
"a1[10] RRp-POR",-0.816968630690483,-0.822959,-0.867645004702668,3680.7,0.95,-1.71129,0.105423,NA,NA,NA,NA,NA,NA,NA
"a1[11] Rsr2000",1.66266135023998,1.65212,1.64260959872047,4864.3,0.95,0.537003,2.76693,NA,NA,NA,NA,NA,NA,NA
"a1[12] SrvyMnk",1.29864367891713,1.29273,1.27966096086221,5663.7,0.95,0.0552147,2.55697,NA,NA,NA,NA,NA,NA,NA
"a1[13] SrvyUSA",-0.0379191951058722,-0.0354025,-0.0165221660443371,4203.5,0.95,-1.03337,0.924846,NA,NA,NA,NA,NA,NA,NA
"a1[14] StrVLLC",-2.11306662694301,-2.10437,-1.95467349828767,5557.4,0.95,-3.30437,-0.851105,NA,NA,NA,NA,NA,NA,NA
"a1[15] TCJRsrc",-3.18306684992273,-3.16065,-3.10278916599678,7203.8,0.95,-4.64513,-1.76316,NA,NA,NA,NA,NA,NA,NA
"a1[16] YouGov",0.135860398182183,0.136086,0.0969312078137214,4849.2,0.95,-0.894021,1.20646,NA,NA,NA,NA,NA,NA,NA
"a1[17] ZIn-JZA",0.769087590112535,0.763756,0.755020632881339,3884.7,0.95,-0.190195,1.76066,NA,NA,NA,NA,NA,NA,NA
"a2[1] 2000",-2.15288940796291,-2.15069,-2.14213689200831,3724.6,0.95,-3.11251,-1.22308,NA,NA,NA,NA,NA,NA,NA
"a2[2] 2004",0.97019182353486,0.971628,0.974679936425644,3486.8,0.95,0.052562,1.82365,NA,NA,NA,NA,NA,NA,NA
"a2[3] 2008",-0.608275742151432,-0.602358,-0.566267246132188,3221.6,0.95,-1.45093,0.24998,NA,NA,NA,NA,NA,NA,NA
"a2[4] 2012",-2.69247145223162,-2.69545,-2.69126438848442,3716.4,0.95,-3.57009,-1.77528,NA,NA,NA,NA,NA,NA,NA
"a2[5] 2016",3.39909047177529,3.40156,3.41219978830756,4631.8,0.95,2.36496,4.39874,NA,NA,NA,NA,NA,NA,NA
"ySigma",3.73168998818289,3.73141,3.74847675434007,10544.8,0.95,3.49978,3.97733,NA,NA,NA,NA,NA,NA,NA
"nuY",7.27430051086265,7.06994,6.67000048538029,10086,0.95,4.79136,10.1336,NA,NA,NA,NA,NA,NA,NA
"a1Sigma",1.53303040405418,1.48714,1.35181381130928,10028.3,0.95,0.945223,2.24721,NA,NA,NA,NA,NA,NA,NA
"a2Sigma",3.17025476702118,2.76399,2.30559921563333,8890.5,0.95,1.26582,6.114,NA,NA,NA,NA,NA,NA,NA
