"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma",3.62988317636364,3.62837,3.62413138049492,9834.5,0.95,3.38811,3.87577,NA,NA,NA,NA,NA,NA,NA
"nuY",6.99909187909091,6.795205,6.54198953361161,9868,0.95,4.56254,9.77604,NA,NA,NA,NA,NA,NA,NA
"a2Sigma",1.69044424818182,1.674985,1.65568028790056,9869.9,0.95,1.30068,2.12423,NA,NA,NA,NA,NA,NA,NA
"a1[1,1] ABCN-WP 2000",-0.134700348723718,-0.121082,0.0225152302131706,9896.2,0.95,-1.97854,1.89121,NA,NA,NA,NA,NA,NA,NA
"a1[2,1] AmrcnRG 2000",1.46813063347955,1.45467,1.44596215197846,9336,0.95,-0.649894,3.76641,NA,NA,NA,NA,NA,NA,NA
"a1[3,1] Gallup 2000",-1.77949126437427,-1.761195,-1.66640494432105,11000,0.95,-4.19975,0.582307,NA,NA,NA,NA,NA,NA,NA
"a1[4,1] GrvsMrk 2000",0.0102602851864545,0.01361085,0.0313953921766323,11000,0.95,-3.28696,3.31322,NA,NA,NA,NA,NA,NA,NA
"a1[5,1] HrrsI&A 2000",2.13675754828182,2.137205,2.19076429887499,8499.9,0.95,0.565194,3.689,NA,NA,NA,NA,NA,NA,NA
"a1[6,1] MrstCll 2000",-2.08411416556205,-2.054905,-1.98916606251558,11000,0.95,-5.0171,0.728089,NA,NA,NA,NA,NA,NA,NA
"a1[7,1] Ms-DP&S 2000",1.62383558011327,1.613475,1.60204069448849,9578.9,0.95,-0.196978,3.44114,NA,NA,NA,NA,NA,NA,NA
"a1[8,1] PblcPlP 2000",0.00340258668463636,0.0159309,0.0862401121034289,11000,0.95,-3.42115,3.26653,NA,NA,NA,NA,NA,NA,NA
"a1[9,1] QnnpcUn 2000",-1.93820863605845,-1.946605,-2.16968852682964,9822.1,0.95,-4.40199,0.539154,NA,NA,NA,NA,NA,NA,NA
"a1[10,1] RRp-POR 2000",-1.56016682120809,-1.56233,-1.59561218378649,8178.5,0.95,-3.13279,-0.0423506,NA,NA,NA,NA,NA,NA,NA
"a1[11,1] Rsr2000 2000",1.92504557708227,1.931765,1.97353693962925,9590.4,0.95,-0.202891,4.10186,NA,NA,NA,NA,NA,NA,NA
"a1[12,1] SrvyMnk 2000",-0.0103621453344545,-0.00233086,0.00965189069391581,10394.1,0.95,-3.32367,3.35526,NA,NA,NA,NA,NA,NA,NA
"a1[13,1] SrvyUSA 2000",-2.01412756767527,-2.00766,-2.15344960651019,9101.1,0.95,-3.81151,-0.283883,NA,NA,NA,NA,NA,NA,NA
"a1[14,1] StrVLLC 2000",0.00806567650363636,0.01868655,0.265392071514336,11000,0.95,-3.25158,3.33168,NA,NA,NA,NA,NA,NA,NA
"a1[15,1] TCJRsrc 2000",-0.0334702446840909,-0.0258768,-0.168358438913678,11000,0.95,-3.31102,3.30584,NA,NA,NA,NA,NA,NA,NA
"a1[16,1] YouGov 2000",0.0219424894152455,0.03465665,0.00171936976829379,11000,0.95,-3.3063,3.34521,NA,NA,NA,NA,NA,NA,NA
"a1[17,1] ZIn-JZA 2000",0.443800565975236,0.431792,0.317039879965703,8591.2,0.95,-1.09033,1.93571,NA,NA,NA,NA,NA,NA,NA
"a1[1,2] ABCN-WP 2004",-0.194438899468973,-0.1941855,-0.375315288134301,10172.4,0.95,-2.34201,1.88464,NA,NA,NA,NA,NA,NA,NA
"a1[2,2] AmrcnRG 2004",0.364410128614818,0.36145,0.346058266256821,9139.1,0.95,-1.50004,2.27517,NA,NA,NA,NA,NA,NA,NA
"a1[3,2] Gallup 2004",-0.804617774715909,-0.7953235,-0.691506429659613,9854.3,0.95,-2.71848,1.11943,NA,NA,NA,NA,NA,NA,NA
"a1[4,2] GrvsMrk 2004",-0.00913721490684455,-0.00114802,0.0554198913315727,10693.6,0.95,-3.35475,3.38236,NA,NA,NA,NA,NA,NA,NA
"a1[5,2] HrrsI&A 2004",0.921943851134036,0.895693,0.842469386519896,10171.8,0.95,-1.18098,3.33114,NA,NA,NA,NA,NA,NA,NA
"a1[6,2] MrstCll 2004",0.833577298707818,0.836561,0.751161647746226,10462.8,0.95,-1.48548,3.4406,NA,NA,NA,NA,NA,NA,NA
"a1[7,2] Ms-DP&S 2004",-0.994572387955082,-0.9986275,-1.13780445323695,7538.8,0.95,-2.45443,0.454589,NA,NA,NA,NA,NA,NA,NA
"a1[8,2] PblcPlP 2004",0.00744907168927273,0.00372392,0.39694481457075,10210.8,0.95,-3.30151,3.36763,NA,NA,NA,NA,NA,NA,NA
"a1[9,2] QnnpcUn 2004",-1.32317319031427,-1.306455,-1.19944829146481,9853.4,0.95,-3.52586,0.758742,NA,NA,NA,NA,NA,NA,NA
"a1[10,2] RRp-POR 2004",0.285934838358245,0.291099,0.39663686173215,8165.9,0.95,-1.31532,1.8627,NA,NA,NA,NA,NA,NA,NA
"a1[11,2] Rsr2000 2004",1.12980249498357,1.133605,1.0850356754682,8672.3,0.95,-0.655178,2.86816,NA,NA,NA,NA,NA,NA,NA
"a1[12,2] SrvyMnk 2004",-0.00611565085936364,-0.0134537,0.0682038391744895,11000,0.95,-3.37056,3.40728,NA,NA,NA,NA,NA,NA,NA
