"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"biasSpread",1.93784175181818,1.93663,1.93382816563824,9616.4,0.95,1.80803,2.06353,NA,NA,NA,NA,NA,NA,NA
"nuY",7.15496736636364,6.930955,6.61873359189526,9239.5,0.95,4.67583,10.0383,NA,NA,NA,NA,NA,NA,NA
"pollsterSpread",1.28245772609091,1.27006,1.21851333325415,9665.3,0.95,1.00068,1.60836,NA,NA,NA,NA,NA,NA,NA
"yearSpread",3.228887307,2.82129,2.29449646265209,8002.1,0.95,1.21223,6.31134,NA,NA,NA,NA,NA,NA,NA
"yearLean[1]",-1.62642840068182,-1.627035,-1.62198316538756,3673.2,0.95,-2.47873,-0.808537,NA,NA,NA,NA,NA,NA,NA
"yearLean[2]",-2.28535137163636,-2.28835,-2.29875854994946,3002.1,0.95,-3.05595,-1.52159,NA,NA,NA,NA,NA,NA,NA
"yearLean[3]",-1.64088273645455,-1.647715,-1.75950983891225,3202.9,0.95,-2.37272,-0.916643,NA,NA,NA,NA,NA,NA,NA
"yearLean[4]",0.323155964695009,0.3315765,0.420676977077286,3576.1,0.95,-0.429364,1.12556,NA,NA,NA,NA,NA,NA,NA
"yearLean[5]",-3.88209482909091,-3.885455,-3.91169812934898,3904.1,0.95,-4.75828,-2.95584,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,1] ABCN-WP 2000",1.44608768614064,1.44638,1.49451030211289,6744.5,0.95,0.212386,2.66579,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,1] AmrcnRG 2000",-1.54365489064455,-1.543715,-1.63900044859953,7399.7,0.95,-2.84135,-0.218547,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,1] Gallup 2000",1.22960251908245,1.22517,1.19594700931701,9111,0.95,-0.233653,2.72842,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,1] GrvsMrk 2000",-0.02600631665,-0.02311615,-0.0332294760605407,11000,0.95,-2.73224,2.35536,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[5,1] HrrsI&A 2000",0.122183306315,0.1245685,0.188351203615093,4906.9,0.95,-0.887847,1.11103,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[6,1] MrstCll 2000",1.599733348477,1.60741,1.69413814217412,10029.6,0.95,-0.189167,3.37617,NA,NA,NA,NA,NA,NA,NA
