"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"repBaselineBias",-0.249433997841091,-0.249682,-0.23917126870038,11000,0.95,-0.399205,-0.104008,NA,NA,NA,NA,NA,NA,NA
"repResponsetoDemBias",-0.745069230727273,-0.744941,-0.74465535709638,10365.3,0.95,-0.773439,-0.71549,NA,NA,NA,NA,NA,NA,NA
"UndecidedResponse",-0.484831737818182,-0.48466,-0.483338688861628,11000,0.95,-0.502818,-0.466548,NA,NA,NA,NA,NA,NA,NA
"repBiasSpread",1.52573206727273,1.52528,1.52378776019733,11689.8,0.95,1.47067,1.58278,NA,NA,NA,NA,NA,NA,NA
"dembiasSpread",2.06810940545455,2.06749,2.06920780317187,9898.6,0.95,1.93335,2.20567,NA,NA,NA,NA,NA,NA,NA
"nuY",7.72413935,7.43959,6.89921578112279,9656.1,0.95,5.07586,11.3184,NA,NA,NA,NA,NA,NA,NA
"pollsterSpread",1.10748058818182,1.098395,1.11512455128207,9996.6,0.95,0.846413,1.38892,NA,NA,NA,NA,NA,NA,NA
"yearSpread",3.27416368090909,2.84985,2.32434965506918,8374,0.95,1.27053,6.30776,NA,NA,NA,NA,NA,NA,NA
"yearLean[1]",-3.78129740090909,-3.781845,-3.83228362980651,5670.1,0.95,-4.55476,-3.00959,NA,NA,NA,NA,NA,NA,NA
"yearLean[2]",-1.37304320610909,-1.37658,-1.36546313004833,5064.1,0.95,-2.04796,-0.644908,NA,NA,NA,NA,NA,NA,NA
"yearLean[3]",-1.86943042236364,-1.87037,-1.84300539560123,4533.2,0.95,-2.51861,-1.22855,NA,NA,NA,NA,NA,NA,NA
"yearLean[4]",-2.60495614,-2.60197,-2.55600633071209,4864.4,0.95,-3.28445,-1.86114,NA,NA,NA,NA,NA,NA,NA
"yearLean[5]",-0.577895929161927,-0.583895,-0.624513015817548,5887.3,0.95,-1.36765,0.224519,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,1] ABCN-WP 2000",1.44763784028455,1.442275,1.30540961680712,8059.6,0.95,0.175133,2.59723,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,1] AmrcnRG 2000",0.521822457458709,0.5182525,0.543844400391443,9789.9,0.95,-0.839474,1.91088,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,1] Gallup 2000",-0.892027949806218,-0.8834605,-0.926399892759763,10366.2,0.95,-2.3673,0.550181,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,1] GrvsMrk 2000",-0.00458741760272727,-0.00236021,0.00404223073226806,10618,0.95,-2.16319,2.21071,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[5,1] HrrsI&A 2000",2.57210832236364,2.56839,2.57770486810377,7001.9,0.95,1.57395,3.54155,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[6,1] MrstCll 2000",-0.951242105268173,-0.9490365,-0.997940323195596,11000,0.95,-2.78675,0.721193,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[7,1] Ms-DP&S 2000",0.305784707898773,0.305055,0.349967869692252,7671.6,0.95,-0.776698,1.3854,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[8,1] PblcPlP 2000",0.0248800678611818,0.024957,-0.258040096016294,11000,0.95,-2.10368,2.23682,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[9,1] QnnpcUn 2000",-1.64780158783909,-1.643705,-1.72309423601019,10408,0.95,-3.20646,-0.117352,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[10,1] RRp-POR 2000",-2.26221006081818,-2.25081,-2.25022275917304,7251.5,0.95,-3.2482,-1.2844,NA,NA,NA,NA,NA,NA,NA
