"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh"
"delModeImpact[1] IVR",1.70106107106228,0.1499315,-0.757681993920755,9691.9,0.95,-39.9275,44.085
"delModeImpact[2] Live",-13.5021396806968,-11.3428,-7.43723258752151,357.8,0.95,-41.8829,7.13526
"delModeImpact[3] Online",17.9919419494842,13.3972,6.04106885788786,3504.4,0.95,-11.318,59.5378
"samplesizeImpact",24.6730723754545,22.05,19.0208781043489,1264.1,0.95,3.01439,50.9425
"LVImpact[1] IVR",-1.11112100413318,-0.7476675,0.0346371104793093,2138.7,0.95,-24.9272,20.4155
"LVImpact[2] Live",3.00234852115794,1.455725,0.112734448866533,450.8,0.95,-15.4296,24.8892
"transparencyImpact[1] IVR",2.347302997452,1.07066,0.0347311853870025,830.2,0.95,-12.4693,20.7856
"transparencyImpact[2] Live",-0.245488276902727,-0.34914,0.0318087645335723,1606.1,0.95,-18.5554,17.0165
"actualSpread",2.82710500363636,2.82468,2.84473416869842,11000,0.95,2.56427,3.10325
"mu[1] IVR",47.8534722,47.8613,47.8762957040388,2737.3,0.95,47.7433,47.9499
"mu[2] Live",51.7584359090909,51.7509,51.7274110376932,5322.8,0.95,51.5655,51.9706
"mu[3] Online",47.5440174818182,47.5391,47.5192653791333,5953.9,0.95,47.3391,47.7673
"mu[4] NA",45.4465990181818,45.4597,45.4761154000027,4594.5,0.95,45.2965,45.572
"mu[5] NA",46.0431836545455,46.0503,46.0599392581466,3873.9,0.95,45.9675,46.1016
"mu[6] NA",36.0353196,36.1356,36.294630664004,3494.8,0.95,34.0325,37.8036
"mu[7] NA",36,36,35.9704221346345,0,0.95,36,36
"mu[8] NA",32,32,32.0262914358805,0,0.95,32,32
"mu[9] NA",44.2933640090909,44.30355,44.2718315644018,3657.7,0.95,43.8408,44.7326
"mu[10] NA",56.5185218545455,56.5251,56.5414622414236,3083.1,0.95,56.217,56.8016
"mu[11] NA",43.5800656454545,43.566,43.5356546237499,1694.8,0.95,43.1804,44.0126
"mu[12] NA",52,52,51.9572764166943,0,0.95,52,52
"mu[13] NA",85,85,84.9301633734425,0,0.95,85,85
"mu[14] NA",50,50,49.9589196314368,0,0.95,50,50
"mu[15] NA",46.6506210727273,46.6408,46.6326822700682,3759.2,0.95,46.3773,46.9404
"mu[16] NA",44.5778613727273,44.58,44.5736219086296,6080.3,0.95,44.3985,44.7536
"mu[17] NA",52,52,51.9572764166943,0,0.95,52,52
"mu[18] NA",40.1632181636364,40.1725,40.1918107451306,3220.2,0.95,39.9097,40.3868
"mu[19] NA",29,29,28.9761733862333,0,0.95,29,29
"mu[20] NA",52,52,51.9572764166943,0,0.95,52,52
"mu[21] NA",35.1016782818182,35.1002,35.1423594090025,5440.4,0.95,34.7375,35.4351
"mu[22] NA",36.0236941363636,36.03845,36.0505866623205,6904.9,0.95,35.8352,36.1631
"mu[23] NA",35,35,34.9712437420058,0,0.95,35,35
"mu[24] NA",38,38,37.968778919892,0,0.95,38,38
"mu[25] NA",56,56,55.9539899872092,0,0.95,56,56
"mu[26] NA",59,59,58.9515251650954,0,0.95,59,59
"mu[27] NA",46,46,45.9622060609218,0,0.95,46,46
"mu[28] NA",46.0850381272727,46.0859,46.0866601360428,3324.9,0.95,45.8911,46.2751
"mu[29] NA",46,46,45.9622060609218,0,0.95,46,46
"mu[30] NA",39.4876146727273,39.4859,39.4698925514009,3871.4,0.95,39.2988,39.6739
"mu[31] NA",42,42,41.9654924904069,0,0.95,42,42
"mu[32] NA",30,30,29.9753517788621,0,0.95,30,30
"mu[33] NA",47.2922669454545,47.2922,47.2860618422072,2283.1,0.95,46.8835,47.686
"mu[34] NA",29,29,28.9761733862333,0,0.95,29,29
"mu[35] NA",35,35,34.9712437420058,0,0.95,35,35
"mu[36] NA",45.4549550727273,45.44335,45.4027833163446,2388.5,0.95,45.0177,45.9173
"mu[37] NA",52,52,51.9572764166943,0,0.95,52,52
"mu[38] NA",45.0979644818182,45.1427,45.2344420646646,5375.9,0.95,44.4905,45.5904
"mu[39] NA",45.1655905545455,45.159,45.1515853594621,3760.8,0.95,45.0826,45.2599
"mu[40] NA",55.9713739454545,55.9857,55.9371707206717,3857.3,0.95,55.4666,56.4442
"mu[41] NA",42.5124860727273,42.5158,42.5142958363865,5801.8,0.95,42.3711,42.6508
"mu[42] NA",32,32,32.0262914358805,0,0.95,32,32
"mu[43] NA",46.8982396181818,46.8668,46.8068777213461,2280.7,0.95,46.414,47.4603
"mu[44] NA",46.0484359,46.0498,46.0489201181923,3344.2,0.95,45.9369,46.1618
"mu[45] NA",48,48,47.9605628461793,0,0.95,48,48
"mu[46] NA",43,43,42.9646708830356,0,0.95,43,43
"mu[47] NA",32,32,32.0262914358805,0,0.95,32,32
"mu[48] NA",41,41,40.9663140977782,0,0.95,41,41
"mu[49] NA",40.6724040636364,40.68615,40.6289683153703,3986.4,0.95,39.5922,41.7609
"mu[50] NA",26.0833276181818,26.1029,26.166034106404,8571.1,0.95,25.1085,26.9888
"mu[51] NA",47.7700833909091,47.75525,47.7233052198419,2449.6,0.95,47.4896,48.1016
"mu[52] NA",61,61,60.9498819503529,0,0.95,61,61
"mu[53] NA",50.7156501,50.71415,50.7024992455438,6677.6,0.95,50.6301,50.8012
"mu[54] NA",46.6650845727273,46.67,46.6891926686135,2769.1,0.95,46.5015,46.8195
"mu[55] NA",29,29,28.9761733862333,0,0.95,29,29
"mu[56] NA",21,21,20.9827462452035,0,0.95,21,21
"mu[57] NA",45.1149693090909,45.1069,45.0896131336723,3341.5,0.95,45.0266,45.2147
"mu[58] NA",55,55,54.9548115945805,0,0.95,55,55
"mu[59] NA",48.4730163,48.46815,48.453941375694,7623.5,0.95,48.1855,48.7868
"mu[60] NA",54.3005869545455,54.28945,54.2753470282219,5870.1,0.95,54.0666,54.5693
"mu[61] NA",47.7061499181818,47.7036,47.6944639664467,8352.8,0.95,47.5238,47.9033
