"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",0.07108355981214,0.0634021,0.0342581716333878,10124.9,0.95,-0.447214,0.634335,NA,NA,NA,NA,NA,NA,NA
"b1[1] GrvsMrk",-0.778620260748067,-0.7627675,-0.669916792106081,9996.2,0.95,-2.2234,0.674406,NA,NA,NA,NA,NA,NA,NA
"b1[2] Ms-DP&S",0.82605006147816,0.8065325,0.643512280444984,10476.3,0.95,-0.490074,2.25243,NA,NA,NA,NA,NA,NA,NA
"b1[3] PblcPlP",0.937603616032133,0.932366,0.914426162659099,13366.7,0.95,-0.036646,1.91638,NA,NA,NA,NA,NA,NA,NA
"b1[4] RRp-POR",-0.5029445440742,-0.498331,-0.487072658980868,13232,0.95,-1.28386,0.311443,NA,NA,NA,NA,NA,NA,NA
"b1[5] Rsr2000",1.01132843355793,0.989078,0.860555061013687,4185.4,0.95,-0.921988,2.92783,NA,NA,NA,NA,NA,NA,NA
"b1[6] SrvyMnk",0.651387378831733,0.6476055,0.670415370979328,5838.2,0.95,-1.16752,2.43921,NA,NA,NA,NA,NA,NA,NA
"b1[7] SrvyUSA",0.136121517565267,0.1396875,0.145671225158568,8626.7,0.95,-0.959335,1.29087,NA,NA,NA,NA,NA,NA,NA
"b1[8] TCJRsrc",-1.84117618525466,-1.761745,-1.34635852494958,2329.5,0.95,-4.18895,0.274186,NA,NA,NA,NA,NA,NA,NA
"b1[9] YouGov",-0.0739791298201667,-0.06770305,-0.0446336728619925,12375.4,0.95,-1.01425,0.821566,NA,NA,NA,NA,NA,NA,NA
"b1[10] ZIn-JZA",-0.365770857750955,-0.3749775,-0.41167703139138,10242.4,0.95,-1.80794,1.09075,NA,NA,NA,NA,NA,NA,NA
"b2[1] 2008",-0.852610192898667,-0.851198,-0.844251568307848,7484.4,0.95,-1.61518,-0.115427,NA,NA,NA,NA,NA,NA,NA
"b2[2] 2012",-2.77089909,-2.768715,-2.82518953179797,5839.2,0.95,-3.48946,-1.96725,NA,NA,NA,NA,NA,NA,NA
"b2[3] 2016",3.62350924333333,3.62229,3.64764461126139,9444.5,0.95,2.76152,4.47275,NA,NA,NA,NA,NA,NA,NA
