"","x"
"1",-0.731778476548496
"2",-1.61446951923503
"3",-1.49242839656723
"4",-2.81826356496802
"5",-1.0564024065519
"6",-4.6212830087689
"7",-3.20568567289588
"8",-0.945131033899145
"9",-4.06025855564725
"10",-6.42162730607706
"11",-3.0417013637276
"12",-3.2017548987324
"13",-1.83274675618703
"14",-1.74850071041503
"15",-1.74391715076863
"16",-2.78562190837187
"17",-3.52460575310122
"18",-2.8996186261432
"19",-7.18997264772806
"20",-3.8060122812041
"21",-1.93196383344302
"22",-3.11160863837482
"23",-3.56773884180016
"24",-2.94413900314884
"25",-1.62983315089675
"26",-0.611074221590977
"27",-3.41521793330072
"28",-1.41014950219808
"29",-2.67384508033364
"30",-3.10794920259108
"31",-3.02846547990382
"32",-1.49289499234294
"33",-3.34908177993683
"34",-4.65578200981775
"35",-5.73310739988181
"36",-1.32916944940006
"37",-1.59626398867247
"38",2.45190061934757
"39",-4.75021131288612
"40",-1.58721525990247
"41",-2.31710725247563
"42",-3.49025850741425
"43",-4.31693641344756
"44",-4.19237473024184
"45",-5.43062745874299
"46",-3.80341556212763
"47",-7.41150743209385
"48",-5.94274965195717
"49",-3.56477134600102
"50",-6.76386101678224
"51",-9.17380784226357
"52",-5.77966460228827
"53",-5.89870232466947
"54",-4.51838511120087
"55",-4.45950460420552
"56",-4.40326436023598
"57",-5.45037255802353
"58",-6.22858636447647
"59",-5.60827540648165
"60",-10.0195038075994
"61",-6.55431835330609
"62",-4.55401307187108
"63",-5.87422410258989
"64",-6.2797411991103
"65",-5.61389774641744
"66",-4.32398194084252
"67",-3.30763872495356
"68",-6.14615506783695
"69",-4.12283593642391
"70",-5.35455040318421
"71",-5.7579356853868
"72",-5.71810556840891
"73",-4.20708740200441
"74",-6.02801703011547
"75",-7.30207903600386
"76",-8.40224901729488
"77",-3.99621634880432
"78",-4.32401452129131
"79",-0.287626192179615
"80",-7.43636628734924
"81",-4.27526909881268
"82",-5.02556177450558
