"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"a[1] 2000",-3.54837728272727,-3.54749,-3.52393970913522,10058.9,0.95,-4.00706,-3.1539,NA,NA,NA,NA,NA,NA,NA
"a[2] 2004",-2.91912292909091,-2.919725,-2.92236348496123,11000,0.95,-3.17721,-2.64464,NA,NA,NA,NA,NA,NA,NA
"a[3] 2008",-2.62100779636364,-2.622315,-2.63329372679911,11000,0.95,-2.89332,-2.35363,NA,NA,NA,NA,NA,NA,NA
"a[4] 2012",-1.09420128972727,-1.0946,-1.06401173332217,10043.3,0.95,-1.50284,-0.647585,NA,NA,NA,NA,NA,NA,NA
"a[5] 2016",-5.41977332454545,-5.420505,-5.43789897902515,11289,0.95,-5.73771,-5.13111,NA,NA,NA,NA,NA,NA,NA
"aMet[1] 2000",-0.385343179454545,-0.3856705,-0.385638324334644,9729.1,0.95,-0.467312,-0.304359,NA,NA,NA,NA,NA,NA,NA
"aMet[2] 2004",-0.365397551818182,-0.365801,-0.370288192945523,10593.2,0.95,-0.463944,-0.271071,NA,NA,NA,NA,NA,NA,NA
"aMet[3] 2008",-0.610496656272727,-0.61039,-0.611431180728421,10276.5,0.95,-0.691078,-0.522383,NA,NA,NA,NA,NA,NA,NA
"aMet[4] 2012",-0.657498834272727,-0.6582,-0.662567089196246,9771.2,0.95,-0.795851,-0.516976,NA,NA,NA,NA,NA,NA,NA
"aMet[5] 2016",-0.597660867181818,-0.597563,-0.597684332447837,11000,0.95,-0.694962,-0.499732,NA,NA,NA,NA,NA,NA,NA
"aSigma",4.24492851636364,3.87677,3.33809374866846,10208.5,0.95,1.89586,7.40477,NA,NA,NA,NA,NA,NA,NA
"ySigma",2.00898962272727,2.00859,2.00873886997563,9391.3,0.95,1.89479,2.12554,NA,NA,NA,NA,NA,NA,NA
"nu",18.3790479027273,15.95925,13.3927127720473,4938.4,0.95,7.43285,35.0363,NA,NA,NA,NA,NA,NA,NA
"2000.v.2004",-0.0199456276363636,-0.0197155,-0.0209989390836191,10171,0.95,-0.154826,0.100552,0,38.3090909090909,-1,1,0,100,0
"2004.v.2008",0.245099104454545,0.244423,0.248353055677325,11000,0.95,0.119648,0.379172,0,100,-1,1,0,100,0
"2012.v.2016",-0.0598379670909091,-0.059503,-0.0556923899546014,10577.2,0.95,-0.235674,0.105763,0,24.6727272727273,-1,1,0,100,0
